produktKategorie,materialbedarf,steuerpflichtig,produktName,produkttyp,artikelnummer,beschreibung,standarddauer,einheit,standardpreisNetto,steuersatz,aktiv,einkaufspreis,id,created_date,updated_date,created_by_id,created_by,is_sample
"","","true","Haftungsauschluss-Taubennetz","dienstleistung","","Für Schäden, die nach der Montage durch außergewöhnliche oder übermäßige Schneelast, Eisbildung, Laubansammlungen, Sturm oder sonstige äußere Einflüsse entstehen, übernehmen wir keine Haftung.

Die regelmäßige Kontrolle, Wartung sowie das Entfernen von Schnee, Eis und Laub obliegen ausschließlich dem Hauseigentümer bzw. der Hausverwaltung. Erforderliche Maßnahmen sind eigenständig zu beauftragen.","","Stk","0","20","true","","69a5665399ac4dbdfd4a317b","2026-03-02T10:28:35.272000","2026-03-02T10:28:35.272000","anonymous","anonymous","false"
"Dienstleistung","","true","Lötnähte","dienstleistung","zcrm_863322000004163022","Offene Lötnähte vorbehandeln und mit Flüssigkunststoff abdichten.","","pauschal","0","20","true","","695d3053247e777632cff0d2","2026-01-06T15:54:59.924000","2026-01-06T15:54:59.924000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"Dienstleistung","","true","Regiestunden Schaden Eventualposition","dienstleistung","zcrm_863322000004163017","""Das Angebot bzw. das angegebene Schadensausmaß bezieht sich auf das vom Boden aus wahrnehmbare Schadensbild. Falls das Arbeitsausmaß über die angebotenen Leistungen hinausgeht","","Std","0","20","true","","695d3053ec4a73158ce85696","2026-01-06T15:54:59.373000","2026-01-06T15:54:59.373000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"Standard","","true","Reinigung Innenhof","dienstleistung","zcrm_863322000004163012","""Einrichten der Baustelle Seilaufbau für die Dauer der Arbeiten Den von Taubenkot stark verschmutzten Innenhof samt Fensterbretter (kleiner Hof zur Darwingasse 22)","","pauschal","0","20","true","","695d3052ef9bc1e664b52156","2026-01-06T15:54:58.773000","2026-01-06T15:54:58.773000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"Standard","","true","Jährliche Dachrinnenreinigung","dienstleistung","zcrm_863322000004163007","Dachrinnenreinigung am gesamten Objekt durchführen. Fallrohre kontrollieren und die Sinkkörbe falls vorhanden entleeren.","","pauschal","0","20","true","","695d305235a5560d1867f73a","2026-01-06T15:54:58.248000","2026-01-06T15:54:58.248000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"Standard","","true","Sanierung der Feuermauer","dienstleistung","zcrm_863322000004163002","","","Stk","0","20","true","","695d3051a2f8ec2b044272dd","2026-01-06T15:54:57.680000","2026-01-06T15:54:57.680000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"","","true","Diverse Dienstleistungen","dienstleistung","zcrm_863322000004162278","","","Stk","0","20","true","","695d3051c6eb600233a98847","2026-01-06T15:54:57.096000","2026-01-06T15:54:57.096000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"","","true","Taubenabwehr","dienstleistung","zcrm_863322000004162268","","","Stk","0","20","true","","695d3050a40ddc91ca0f5adf","2026-01-06T15:54:56.491000","2026-01-06T15:54:56.491000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"Dienstleistung","","true","Dachrinne und Flachdach","dienstleistung","zcrm_863322000004159007","Dachrinnenreinigung am gesamten Objekt durchgeführt. Fallrohre kontrolliert und die Sinkkörbe entleert. Flachdach kontrolliert und höheren Bewuchs entfernt. Entsorgung des Bewuchses. Wassereinlässe am Flachdach kontrolliert und gereinigt.","","pauschal","0","20","true","","695d304f118a4f739d84c3ae","2026-01-06T15:54:55.885000","2026-01-06T15:54:55.885000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"Standard","","true","Offener Falz","dienstleistung","zcrm_863322000004159002","Baustelle einrichten. Seilaufbau für die Dauer der Arbeiten durchführen. Reinigung und Vorbereitung des betroffenen Bereichs. Auftragen eines geeigneten Flüssigkunststoffs. Einbettung eines speziellen Verstärkungsvlieses zur Stabilisierung. Mehrlagiger Aufbau für dauerhafte Abdichtung. Seilabbau nach Fertigstellung der Arbeiten. Räumen der Baustelle.","","pauschal","0","20","true","","695d304fe2140cbb476ba059","2026-01-06T15:54:55.340000","2026-01-06T15:54:55.340000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"Dienstleistung","","true","Kaminkopf verputzen","dienstleistung","zcrm_863322000004157043","""Loses Material an der Kaminkopfplatte entfernen. Kaminkopfplatte reinigen","","pauschal","0","20","true","","695d304e610276c5a05e7e3a","2026-01-06T15:54:54.783000","2026-01-06T15:54:54.783000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"Dienstleistung","","true","Kostenschätzung","dienstleistung","zcrm_863322000004157038","Einrichten der Baustelle. Seilaufbau für die Dauer der Arbeiten durchführen. Schadhafte Stellen an der Fassade mittels seilunterstützter Arbeit abschlagen und neu verputzen. Verputzte Stellen farblich angleichen. Seilabbau nach Durchführung der Arbeiten vornehmen. Räumen der Baustelle. Entsorgung des Bauschuttes. Verrechnung nach tatsächlichen Arbeitsaufwand die Partiestunde mit --- Mann kostet € --- exkl. MwSt. Geschätzter Arbeitsaufwand ca.--- Partie Stunden. Geschätzte Gesamtkosten ca. € --- excl. MwSt.","","pauschal","0","20","true","","695d304e3cf39453bc6ddb3e","2026-01-06T15:54:54.250000","2026-01-06T15:54:54.250000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"Standard","","true","Standardstütze Ø 48","dienstleistung","zcrm_863322000004157033","""STA-10-600 Standardstütze Ø 48 mm","","Stk","0","20","true","","695d304d4a121cf1d46ee489","2026-01-06T15:54:53.606000","2026-01-06T15:54:53.606000","6937375d862a164b90207fd4","info@oswebdev.com","false"
